Koerper_Laenge,Koerper_Breite,Fluegel_Laenge,Fluegel_Breite,Art
5.27,3.54,"1,56cm",0.43,Typ A
4.35,2.98,"1,43cm",0.23,Typ A
5.11,3.51,"1,39cm",0.2,Typ A
4.35,2.88,"1,39cm",0.25,Typ A
4.89,3.34,"1,57cm",0.13,Typ A
5.77,4.37,"1,55cm",0.37,Typ A
4.67,2.96,"1,43cm",0.12,Typ A
5.06,3.89,"1,54cm",0.28,Typ A
5.34,3.61,"1,58cm",0.43,Typ A
5.19,3.66,"1,37cm",0.19,Typ A
5.2,3.47,"1,45cm",0.3,Typ A
5.41,3.51,"1,72cm",0.19,Typ A
4.79,3.36,"1,01cm",0.23,Typ A
4.59,3.23,"1,38cm",0.22,Typ A
4.99,3.53,"1,53cm",0.56,Typ A
4.63,3.45,"1,04cm",0.25,Typ A
4.89,3.21,"1,54cm",0.13,Typ A
4.96,3.52,"1,24cm",0.27,Typ A
4.34,2.73,"1,44cm",0.26,Typ A
5.17,3.56,"1,43cm",0.26,Typ A
5.13,3.41,"1,34cm",0.18,Typ A
5.1,3.77,"1,78cm",0.36,Typ A
4.97,2.69,"1,44cm",0.24,Typ A
4.77,3.25,"1,46cm",0.24,Typ A
4.32,2.93,"1,21cm",0.25,Typ A
5.48,3.67,"1,66cm",0.23,Typ A
4.63,2.86,"1,42cm",0.18,Typ A
4.57,3.09,"1,23cm",0.23,Typ A
4.6,3.13,"1,4cm",0.19,Typ A
4.91,3.01,"1,49cm",0.15,Typ A
4.65,3.51,"1,43cm",0.3,Typ A
5.16,4.19,"1,45cm",0.11,Typ A
4.59,3.01,"1,45cm",0.2,Typ A
5.09,3.6,"1,55cm",0.21,Typ A
4.86,3.51,"1,54cm",0.55,Typ A
,,,,
4.79,3.5,"1,36cm",0.32,Typ A
4.95,3.5,"1,23cm",0.28,Typ A
4.61,3.35,"1,78cm",0.26,Typ A
5.43,3.39,"1,72cm",0.2,Typ A
4.77,3.16,"1,22cm",0.22,Typ A
5.24,3.86,"1,76cm",0.41,Typ A
5.05,3.07,"1,56cm",0.14,Typ A
4.72,2.67,"1,32cm",0.16,Typ A
5.41,3.88,"1,6cm",0.41,Typ A
4.88,3.43,"1,23cm",0.34,Typ A
5.08,3.51,"1,44cm",0.19,Typ A
4.47,2.34,"1,23cm",0.3,Typ A
5.3,3.68,"1,6cm",0.37,Typ A
5.19,3.55,"1,47cm",0.19,Typ A
5.17,2.25,"3,06cm",1.12,Typ C
6.18,3.39,"4,65cm",1.62,Typ C
5.08,2.05,"3,66cm",1.07,Typ C
